t, reading, IMUVal 
76.86000, 289.00000, 26476.00000 
76.91000, 290.00000, 25072.00000 
76.96000, 288.00000, 23162.00000 
77.01000, 275.00000, 25946.00000 
77.06000, 266.00000, 25396.00000 
77.11000, 258.00000, 24752.00000 
77.16000, 254.00000, 27006.00000 
77.21000, 253.00000, 30100.00000 
77.26000, 256.00000, 29498.00000 
77.31000, 256.00000, 28596.00000 
77.36000, 257.00000, 30132.00000 
77.41000, 258.00000, 29748.00000 
77.46000, 259.00000, 33534.00000 
77.51000, 260.00000, 29754.00000 
77.56000, 260.00000, 31552.00000 
77.61000, 260.00000, 33598.00000 
77.66000, 260.00000, 33400.00000 
77.71000, 262.00000, 30948.00000 
77.76000, 264.00000, 28970.00000 
77.81000, 265.00000, 26360.00000 
77.86000, 266.00000, 23900.00000 
77.91000, 267.00000, 19826.00000 
77.96000, 271.00000, 17102.00000 
78.01000, 275.00000, 17084.00000 
78.06000, 283.00000, 20632.00000 
78.11000, 291.00000, 24582.00000 
78.16000, 310.00000, 24552.00000 
78.21000, 307.00000, 26522.00000 
78.26000, 275.00000, 24836.00000 
78.31000, 262.00000, 23240.00000 
78.36000, 256.00000, 24192.00000 
78.41000, 254.00000, 26404.00000 
78.46000, 254.00000, 28340.00000 
78.51000, 255.00000, 27726.00000 
78.56000, 256.00000, 28466.00000 
78.61000, 256.00000, 31080.00000 
78.66000, 257.00000, 31826.00000 
78.71000, 258.00000, 33918.00000 
78.76000, 260.00000, 29928.00000 
78.81000, 261.00000, 30216.00000 
78.86000, 261.00000, 31660.00000 
78.91000, 262.00000, 32284.00000 
78.96000, 263.00000, 30944.00000 
79.01000, 265.00000, 29360.00000 
79.06000, 265.00000, 27436.00000 
79.11000, 265.00000, 25204.00000 
79.16000, 266.00000, 20488.00000 
79.21000, 272.00000, 18590.00000 
79.26000, 277.00000, 17070.00000 
79.31000, 290.00000, 20364.00000 
79.36000, 308.00000, 25002.00000 
79.41000, 330.00000, 25482.00000 
79.46000, 303.00000, 25440.00000 
79.51000, 270.00000, 26050.00000 
79.56000, 259.00000, 25412.00000 
79.61000, 254.00000, 24936.00000 
