t, ir, imu 
2307.70000, 251.00000, 31528.00000
2307.75000, 251.00000, 24072.00000
2307.80000, 241.00000, 18814.00000
2307.85000, 253.00000, 14530.00000
2307.90000, 247.00000, 16206.00000
2307.95000, 250.00000, 5584.00000
2308.00000, 249.00000, 18480.00000
2308.05000, 254.00000, 27562.00000
2308.10000, 245.00000, 30414.00000
2308.15000, 249.00000, -31154.00000
2308.20000, 250.00000, -24052.00000
2308.25000, 249.00000, -27670.00000
2308.30000, 253.00000, 29956.00000
2308.35000, 252.00000, 24160.00000
2308.40000, 252.00000, 19418.00000
2308.45000, 253.00000, 16188.00000
2308.50000, 249.00000, 13456.00000
2308.55000, 251.00000, 8982.00000
2308.60000, 244.00000, 12142.00000
2308.65000, 238.00000, 17972.00000
2308.70000, 251.00000, 23248.00000
2308.75000, 249.00000, -27024.00000
2308.80000, 249.00000, -22292.00000
2308.85000, 250.00000, -26236.00000
2308.90000, 251.00000, 28700.00000
2308.95000, 247.00000, 23948.00000
2309.00000, 248.00000, 19344.00000
2309.05000, 251.00000, 14796.00000
2309.10000, 249.00000, 13148.00000
2309.15000, 249.00000, 5116.00000
2309.20000, 248.00000, 13132.00000
2309.25000, 242.00000, 24326.00000
2309.30000, 251.00000, -31952.00000
2309.35000, 249.00000, -23728.00000
2309.40000, 237.00000, -26108.00000
2309.45000, 246.00000, 32352.00000
2309.50000, 250.00000, 24936.00000
2309.55000, 248.00000, 19252.00000
2309.60000, 249.00000, 12820.00000
2309.65000, 245.00000, 10066.00000
2309.70000, 250.00000, 5842.00000
2309.75000, 250.00000, 11666.00000
2309.80000, 250.00000, 19490.00000
2309.85000, 249.00000, -29612.00000
2309.90000, 249.00000, -20072.00000
2309.95000, 247.00000, -21858.00000
2310.00000, 250.00000, -32134.00000
2310.05000, 248.00000, 24150.00000
2310.10000, 249.00000, 16648.00000
2310.15000, 251.00000, 12386.00000
2310.20000, 250.00000, 9122.00000
2310.25000, 251.00000, 4758.00000
2310.30000, 243.00000, 11068.00000
2310.35000, 239.00000, 24980.00000
2310.40000, 251.00000, -26372.00000
2310.45000, 249.00000, -21022.00000
2310.50000, 244.00000, -27538.00000
2310.55000, 231.00000, 29818.00000
2310.60000, 251.00000, 22174.00000
2310.65000, 239.00000, 16554.00000
2310.70000, 241.00000, 12064.00000
2310.75000, 250.00000, 10016.00000
2310.80000, 250.00000, 16092.00000
2310.85000, 248.00000, 22342.00000
2310.90000, 235.00000, 29948.00000
2310.95000, 250.00000, 30532.00000
2311.00000, 249.00000, -32256.00000
2311.05000, 247.00000, 25768.00000
2311.10000, 244.00000, 29358.00000
2311.15000, 247.00000, 2042.00000
2311.20000, 241.00000, 25320.00000
2311.25000, 235.00000, 32452.00000
2311.30000, 224.00000, 20798.00000
2311.35000, 232.00000, 20316.00000
2311.40000, 231.00000, 23780.00000
2311.45000, 232.00000, 22222.00000
2311.50000, 232.00000, 21978.00000
2311.55000, 226.00000, 22826.00000
2311.60000, 230.00000, 22440.00000
2311.65000, 229.00000, 22292.00000
2311.70000, 229.00000, 22624.00000
2311.75000, 230.00000, 22326.00000
2311.80000, 228.00000, 22342.00000
2311.85000, 218.00000, 22514.00000
2311.90000, 228.00000, 22398.00000
2311.95000, 230.00000, 22374.00000
2312.00000, 228.00000, 22524.00000
2312.05000, 228.00000, 22386.00000
2312.10000, 218.00000, 22428.00000
2312.15000, 226.00000, 22318.00000
2312.20000, 229.00000, 22506.00000
2312.25000, 227.00000, 22378.00000
2312.30000, 222.00000, 22414.00000
2312.35000, 225.00000, 22430.00000
2312.40000, 228.00000, 22462.00000
2312.45000, 229.00000, 22416.00000
2312.50000, 230.00000, 22434.00000
2312.55000, 213.00000, 22430.00000
2312.60000, 228.00000, 22534.00000
2312.65000, 224.00000, 22332.00000
2312.70000, 209.00000, 22468.00000
2312.75000, 227.00000, 22484.00000
2312.80000, 228.00000, 22328.00000
2312.85000, 228.00000, 22406.00000
2312.90000, 229.00000, 22490.00000
2312.95000, 220.00000, 22360.00000
2313.00000, 230.00000, 22428.00000
2313.05000, 223.00000, 22454.00000
2313.10000, 208.00000, 22464.00000
2313.15000, 225.00000, 22522.00000
2313.20000, 229.00000, 22310.00000
2313.25000, 229.00000, 22570.00000
2313.30000, 229.00000, 22268.00000
2313.35000, 227.00000, 22460.00000
2313.40000, 228.00000, 22504.00000
2313.45000, 207.00000, 22418.00000
2313.50000, 224.00000, 22434.00000
2313.55000, 229.00000, 22460.00000
2313.60000, 209.00000, 22510.00000
2313.65000, 208.00000, 22474.00000
2313.70000, 224.00000, 22472.00000
2313.75000, 228.00000, 22386.00000
2313.80000, 227.00000, 22530.00000
2313.85000, 201.00000, 22450.00000
2313.90000, 230.00000, 22408.00000
2313.95000, 230.00000, 22430.00000
2314.00000, 227.00000, 22812.00000
2314.05000, 208.00000, 22300.00000
2314.10000, 228.00000, 22408.00000
2314.15000, 229.00000, 22422.00000
2314.20000, 212.00000, 22388.00000
2314.25000, 222.00000, 22320.00000
2314.30000, 229.00000, 22538.00000
2314.35000, 230.00000, 22466.00000
2314.40000, 230.00000, 22506.00000
2314.45000, 201.00000, 22780.00000
2314.50000, 229.00000, 22248.00000
2314.55000, 219.00000, 22576.00000
2314.60000, 230.00000, 22386.00000
2314.65000, 214.00000, 22448.00000
2314.70000, 219.00000, 22398.00000
2314.75000, 211.00000, 22336.00000
2314.80000, 230.00000, 22566.00000
2314.85000, 212.00000, 22372.00000
2314.90000, 221.00000, 22504.00000
2314.95000, 230.00000, 22406.00000
2315.00000, 230.00000, 22460.00000
2315.05000, 207.00000, 22400.00000
2315.10000, 227.00000, 22400.00000
2315.15000, 231.00000, 22534.00000
2315.20000, 231.00000, 22350.00000
2315.25000, 209.00000, 22458.00000
2315.30000, 230.00000, 22418.00000
2315.35000, 226.00000, 22128.00000
2315.40000, 230.00000, 22328.00000
2315.45000, 206.00000, 22164.00000
2315.50000, 231.00000, 21898.00000
2315.55000, 230.00000, 22558.00000
2315.60000, 231.00000, 22204.00000
2315.65000, 224.00000, 22708.00000
2315.70000, 222.00000, 22570.00000
2315.75000, 231.00000, 22522.00000
2315.80000, 228.00000, 22546.00000
2315.85000, 214.00000, 22394.00000
2315.90000, 231.00000, 22776.00000
2315.95000, 230.00000, 21974.00000
2316.00000, 231.00000, 22762.00000
2316.05000, 212.00000, 22272.00000
2316.10000, 232.00000, 22432.00000
2316.15000, 231.00000, 22446.00000
2316.20000, 228.00000, 22502.00000
2316.25000, 227.00000, 22542.00000
2316.30000, 232.00000, 22378.00000
2316.35000, 230.00000, 22532.00000
2316.40000, 230.00000, 22420.00000
2316.45000, 227.00000, 22412.00000
2316.50000, 231.00000, 22478.00000
2316.55000, 230.00000, 22396.00000
2316.60000, 228.00000, 22460.00000
2316.65000, 233.00000, 22462.00000
2316.70000, 228.00000, 22354.00000
2316.75000, 231.00000, 22436.00000
2316.80000, 231.00000, 22442.00000
2316.85000, 231.00000, 22428.00000
2316.90000, 231.00000, 22476.00000
2316.95000, 230.00000, 22350.00000
2317.00000, 231.00000, 22480.00000
2317.05000, 230.00000, 22336.00000
2317.10000, 231.00000, 22554.00000
2317.15000, 231.00000, 22514.00000
2317.20000, 228.00000, 22362.00000
2317.25000, 224.00000, 22498.00000
2317.30000, 230.00000, 22412.00000
2317.35000, 231.00000, 22406.00000
2317.40000, 230.00000, 22466.00000
2317.45000, 232.00000, 22452.00000
2317.50000, 231.00000, 22434.00000
2317.55000, 224.00000, 22484.00000
2317.60000, 230.00000, 22372.00000
2317.65000, 231.00000, 22494.00000
2317.70000, 231.00000, 22406.00000
2317.75000, 230.00000, 22538.00000
2317.80000, 225.00000, 22464.00000
2317.85000, 230.00000, 22480.00000
2317.90000, 220.00000, 22452.00000
2317.95000, 230.00000, 22452.00000
2318.00000, 232.00000, 22448.00000
2318.05000, 223.00000, 22438.00000
2318.10000, 231.00000, 22308.00000
2318.15000, 232.00000, 22466.00000
2318.20000, 231.00000, 22500.00000
2318.25000, 233.00000, 22324.00000
2318.30000, 229.00000, 22470.00000
2318.35000, 228.00000, 22420.00000
2318.40000, 230.00000, 22408.00000
2318.45000, 234.00000, 22738.00000
2318.50000, 230.00000, 22212.00000
2318.55000, 228.00000, 22472.00000
2318.60000, 231.00000, 22352.00000
2318.65000, 233.00000, 22262.00000
2318.70000, 231.00000, 22582.00000
2318.75000, 226.00000, 21924.00000
2318.80000, 230.00000, 21468.00000
2318.85000, 232.00000, 22436.00000
2318.90000, 221.00000, 24456.00000
2318.95000, 222.00000, 23242.00000
2319.00000, 228.00000, 22802.00000
2319.05000, 224.00000, 22536.00000
